,id,genre
0,862,Animation
0,862,Comedy
0,862,Family
1,8844,Adventure
1,8844,Fantasy
1,8844,Family
2,15602,Romance
2,15602,Comedy
3,31357,Comedy
3,31357,Drama
3,31357,Romance
5,949,Action
5,949,Crime
5,949,Drama
5,949,Thriller
6,11860,Comedy
6,11860,Romance
7,45325,Action
7,45325,Adventure
7,45325,Drama
7,45325,Family
8,9091,Action
8,9091,Adventure
8,9091,Thriller
9,710,Adventure
9,710,Action
9,710,Thriller
10,9087,Comedy
10,9087,Drama
10,9087,Romance
11,12110,Comedy
11,12110,Horror
12,21032,Family
12,21032,Animation
12,21032,Adventure
13,10858,History
13,10858,Drama
14,1408,Action
14,1408,Adventure
15,524,Drama
15,524,Crime
16,4584,Drama
16,4584,Romance
17,5,Crime
17,5,Comedy
18,9273,Crime
18,9273,Comedy
18,9273,Adventure
19,11517,Action
19,11517,Comedy
19,11517,Crime
20,8012,Comedy
20,8012,Thriller
20,8012,Crime
21,1710,Drama
21,1710,Thriller
22,9691,Action
22,9691,Adventure
22,9691,Crime
22,9691,Thriller
23,12665,Drama
23,12665,Fantasy
23,12665,Science Fiction
23,12665,Thriller
24,451,Drama
24,451,Romance
26,9263,Comedy
26,9263,Drama
26,9263,Family
27,17015,Drama
27,17015,Romance
28,902,Fantasy
28,902,Science Fiction
28,902,Adventure
29,37557,Drama
29,37557,Crime
30,9909,Drama
30,9909,Crime
31,63,Science Fiction
31,63,Thriller
31,63,Mystery
32,78802,Romance
32,78802,Adventure
33,9598,Fantasy
33,9598,Drama
33,9598,Comedy
33,9598,Family
34,47018,History
34,47018,Drama
34,47018,Romance
36,139405,Adventure
36,139405,History
36,139405,Drama
36,139405,Family
37,33689,Comedy
37,33689,Family
37,33689,Romance
38,9603,Comedy
38,9603,Drama
38,9603,Romance
40,31174,Drama
40,31174,War
41,11443,Action
41,11443,Crime
41,11443,Drama
41,11443,History
42,35196,Drama
42,35196,Romance
43,9312,Action
43,9312,Fantasy
44,577,Fantasy
44,577,Drama
44,577,Comedy
44,577,Thriller
45,11861,Drama
45,11861,Romance
46,807,Crime
46,807,Mystery
46,807,Thriller
47,10530,Adventure
47,10530,Animation
47,10530,Drama
47,10530,Family
48,8391,Drama
48,8391,Romance
49,629,Drama
49,629,Crime
49,629,Thriller
50,117164,Action
50,117164,Thriller
50,117164,Drama
51,11448,Comedy
51,11448,Romance
52,49133,Drama
52,49133,Foreign
53,26441,Action
53,26441,Adventure
53,26441,Comedy
53,26441,Family
56,9089,Comedy
56,9089,Drama
56,9089,Romance
57,11010,Comedy
57,11010,Drama
57,11010,Romance
58,99040,Thriller
58,99040,Drama
58,99040,Mystery
59,11359,Adventure
59,11359,Family
59,11359,Fantasy
60,17182,Drama
60,17182,Thriller
61,2054,Music
61,2054,Drama
61,2054,Family
63,19760,Comedy
63,19760,Romance
65,11525,Action
65,11525,Science Fiction
66,40628,Drama
66,40628,Family
67,4482,Comedy
67,4482,Romance
69,755,Horror
69,755,Action
69,755,Thriller
69,755,Crime
70,11859,Action
70,11859,Thriller
70,11859,Romance
71,28387,Comedy
71,28387,Drama
71,28387,Romance
72,48750,Drama
72,48750,History
73,20927,Drama
73,20927,Romance
74,36929,Comedy
74,36929,Family
75,9102,Horror
75,9102,Science Fiction
77,27526,Drama
77,27526,Thriller
78,9623,Drama
78,9623,Thriller
79,46785,Family
79,46785,Drama
80,400,Drama
80,400,Crime
81,880,Drama
81,880,Comedy
82,146599,Romance
82,146599,Drama
84,8447,Drama
84,8447,Romance
85,10534,Action
85,10534,Drama
86,17414,Adventure
86,17414,Comedy
86,17414,Family
88,2086,Crime
88,2086,Drama
88,2086,Thriller
90,9095,Drama
90,9095,Horror
90,9095,Thriller
90,9095,Romance
91,12158,Comedy
91,12158,Horror
91,12158,Romance
92,9283,Comedy
92,9283,Drama
92,9283,Romance
93,9208,Action
93,9208,Adventure
93,9208,Drama
93,9208,Thriller
96,45549,Action
96,45549,Adventure
96,45549,Drama
96,45549,Science Fiction
96,45549,Thriller
98,11062,Drama
98,11062,Thriller
99,13685,Comedy
99,13685,Crime
99,13685,Drama
100,47475,Comedy
100,47475,Romance
101,2045,Drama
101,2045,Mystery
101,2045,Science Fiction
101,2045,Thriller
103,688,Drama
103,688,Romance
104,11907,Drama
104,11907,Comedy
104,11907,Family
105,10874,Action
