id,imdb_id,title,year,vote_count,vote_average,popularity,genres
862,tt0114709,Toy Story,1995,5415.0,7.7,21.946943,"['Animation', 'Comedy', 'Family']"
8844,tt0113497,Jumanji,1995,2413.0,6.9,17.015539,"['Adventure', 'Fantasy', 'Family']"
15602,tt0113228,Grumpier Old Men,1995,92.0,6.5,11.7129,"['Romance', 'Comedy']"
31357,tt0114885,Waiting to Exhale,1995,34.0,6.1,3.859495,"['Comedy', 'Drama', 'Romance']"
949,tt0113277,Heat,1995,1886.0,7.7,17.924927,"['Action', 'Crime', 'Drama', 'Thriller']"
11860,tt0114319,Sabrina,1995,141.0,6.2,6.677277,"['Comedy', 'Romance']"
45325,tt0112302,Tom and Huck,1995,45.0,5.4,2.561161,"['Action', 'Adventure', 'Drama', 'Family']"
9091,tt0114576,Sudden Death,1995,174.0,5.5,5.23158,"['Action', 'Adventure', 'Thriller']"
710,tt0113189,GoldenEye,1995,1194.0,6.6,14.686036,"['Adventure', 'Action', 'Thriller']"
9087,tt0112346,The American President,1995,199.0,6.5,6.318445,"['Comedy', 'Drama', 'Romance']"
12110,tt0112896,Dracula: Dead and Loving It,1995,210.0,5.7,5.430331,"['Comedy', 'Horror']"
21032,tt0112453,Balto,1995,423.0,7.1,12.140733,"['Family', 'Animation', 'Adventure']"
10858,tt0113987,Nixon,1995,72.0,7.1,5.092,"['History', 'Drama']"
1408,tt0112760,Cutthroat Island,1995,137.0,5.7,7.284477,"['Action', 'Adventure']"
524,tt0112641,Casino,1995,1343.0,7.8,10.137389,"['Drama', 'Crime']"
4584,tt0114388,Sense and Sensibility,1995,364.0,7.2,10.673167,"['Drama', 'Romance']"
5,tt0113101,Four Rooms,1995,539.0,6.5,9.026586,"['Crime', 'Comedy']"
9273,tt0112281,Ace Ventura: When Nature Calls,1995,1128.0,6.1,8.205448,"['Crime', 'Comedy', 'Adventure']"
11517,tt0113845,Money Train,1995,224.0,5.4,7.337906,"['Action', 'Comedy', 'Crime']"
8012,tt0113161,Get Shorty,1995,305.0,6.4,12.669608,"['Comedy', 'Thriller', 'Crime']"
1710,tt0112722,Copycat,1995,199.0,6.5,10.701801,"['Drama', 'Thriller']"
9691,tt0112401,Assassins,1995,394.0,6.0,11.065939,"['Action', 'Adventure', 'Crime', 'Thriller']"
12665,tt0114168,Powder,1995,143.0,6.3,12.133094,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
451,tt0113627,Leaving Las Vegas,1995,365.0,7.1,10.332025,"['Drama', 'Romance']"
9263,tt0114011,Now and Then,1995,91.0,6.6,8.681325,"['Comedy', 'Drama', 'Family']"
17015,tt0114117,Persuasion,1995,36.0,7.4,2.228434,"['Drama', 'Romance']"
902,tt0112682,The City of Lost Children,1995,308.0,7.6,9.822423,"['Fantasy', 'Science Fiction', 'Adventure']"
